Model,Accuracy,Precision,Recall,F1,ROC-AUC
CMGA,0.8913333333333333,0.8936657580243802,0.8911811853737532,0.890590392563781,0.936336918163871
BaselineConcat,0.8873333333333333,0.8924455757031802,0.887163789163747,0.8862197928438573,0.9292294360011352
LateFusion,0.888,0.892679228936539,0.8878331318611781,0.886945460328902,0.9346645588645383
SimpleCrossAttention,0.8873333333333333,0.8924455757031802,0.887163789163747,0.8862197928438573,0.9285894020322135
